Year,Region,Gender.Code,Education,rural_urban_class,source,measure1,measure2,attr,agr_by,overall_value,Ethnicity
1990,United States,All genders,666,large central metro,National Vital Statistics System,Deaths,absolute number,overall,nation,707497,"All, All Origins"
1990,United States,All genders,666,large central metro,National Vital Statistics System,Deaths,absolute number,total,nation,817494,"All, All Origins"
1990,United States,All genders,666,large central metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,nation,1043.88896057302,"All, All Origins"
1990,United States,All genders,666,large central metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",total,nation,1213.36043261323,"All, All Origins"
1990,United States,All genders,666,large central metro,National Vital Statistics System,Deaths,"crude rate per 100,000",overall,nation,1427.93390852033,"All, All Origins"
1990,United States,All genders,666,large central metro,National Vital Statistics System,Deaths,"crude rate per 100,000",total,nation,1649.93972075065,"All, All Origins"
1990,United States,All genders,666,large central metro,National Vital Statistics System,YLL,absolute number,overall,nation,16332219.8579212,"All, All Origins"
1990,United States,All genders,666,large central metro,National Vital Statistics System,YLL,absolute number,total,nation,17640204.6811689,"All, All Origins"
1990,United States,All genders,666,large central metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",overall,nation,22975.8046457888,"All, All Origins"
1990,United States,All genders,666,large central metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",total,nation,25270.8676973723,"All, All Origins"
1990,United States,All genders,666,large central metro,National Vital Statistics System,YLL,"crude rate per 100,000",overall,nation,32963.1511321389,"All, All Origins"
1990,United States,All genders,666,large central metro,National Vital Statistics System,YLL,"crude rate per 100,000",total,nation,35603.0434298381,"All, All Origins"
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,Deaths,absolute number,overall,nation,306909,"All, All Origins"
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,Deaths,absolute number,total,nation,360933,"All, All Origins"
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,nation,631.785709033071,"All, All Origins"
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",total,nation,745.045132589364,"All, All Origins"
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,Deaths,"crude rate per 100,000",overall,nation,843.236075356444,"All, All Origins"
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,Deaths,"crude rate per 100,000",total,nation,991.667648673148,"All, All Origins"
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,YLL,absolute number,overall,nation,6740868.74752322,"All, All Origins"
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,YLL,absolute number,total,nation,7566087.983007,"All, All Origins"
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",overall,nation,13005.1310014152,"All, All Origins"
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",total,nation,14778.5710149029,"All, All Origins"
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,YLL,"crude rate per 100,000",overall,nation,18520.615906195,"All, All Origins"
